AUC: 0.544070, CE: 0.691992 + 0.002927, CEpre: 0.752712 + 0.018770, time 40235.00
AUC: 0.475546, CE: 0.720017 + 0.006997, CEpre: 1.883005 + 0.072620, time 40257.41
AUC: 0.621068, CE: 0.674025 + 0.007964, CEpre: 0.966285 + 0.046495, time 41138.11
AUC: 0.618387, CE: 0.679495 + 0.006639, CEpre: 0.827961 + 0.035024, time 41926.58
AUC: 0.543790, CE: 0.690408 + 0.003184, CEpre: 0.732255 + 0.016474, time 42655.21
AUC: 0.576179, CE: 0.688767 + 0.004810, CEpre: 0.834073 + 0.032477, time 43138.21
AUC: 0.630772, CE: 0.669242 + 0.008768, CEpre: 1.010826 + 0.049163, time 44281.02
AUC: 0.548404, CE: 0.690946 + 0.002887, CEpre: 0.732887 + 0.015255, time 45130.52
AUC: 0.605326, CE: 0.679495 + 0.008448, CEpre: 1.233393 + 0.063515, time 46079.33
AUC: 0.569695, CE: 0.688248 + 0.004705, CEpre: 0.816925 + 0.029825, time 46338.00
AUC: 0.553490, CE: 0.692817 + 0.002239, CEpre: 0.735574 + 0.016651, time 46762.46
AUC: 0.571352, CE: 0.688073 + 0.005860, CEpre: 0.974148 + 0.047615, time 47859.57
AUC: 0.586141, CE: 0.687073 + 0.005195, CEpre: 0.835753 + 0.031139, time 48450.51
AUC: 0.528429, CE: 0.691212 + 0.002420, CEpre: 0.710658 + 0.009941, time 48636.71
AUC: 0.506027, CE: 0.695142 + 0.003339, CEpre: 0.871181 + 0.036711, time 48676.07
AUC: 0.518042, CE: 0.693568 + 0.001661, CEpre: 0.730989 + 0.014022, time 49547.20
AUC: 0.513154, CE: 0.692449 + 0.001753, CEpre: 0.708113 + 0.010110, time 50642.85
AUC: 0.575503, CE: 0.686669 + 0.005953, CEpre: 0.950978 + 0.041357, time 51192.63
AUC: 0.584876, CE: 0.685999 + 0.006653, CEpre: 1.044153 + 0.049578, time 51655.57
AUC: 0.518790, CE: 0.693760 + 0.002165, CEpre: 0.751773 + 0.015606, time 51788.62
AUC: 0.535998, CE: 0.691302 + 0.002778, CEpre: 0.734063 + 0.015018, time 52047.91
AUC: 0.467783, CE: 0.693361 + 0.000121, CEpre: 0.697262 + 0.001758, time 52223.59
AUC: 0.582231, CE: 0.690629 + 0.004460, CEpre: 0.841714 + 0.033461, time 53330.10
AUC: 0.633618, CE: 0.670250 + 0.008531, CEpre: 0.981205 + 0.049102, time 54298.46
AUC: 0.556024, CE: 0.691195 + 0.003826, CEpre: 0.809778 + 0.025461, time 54350.22
AUC: 0.608899, CE: 0.684156 + 0.005727, CEpre: 0.824954 + 0.033614, time 55377.95
AUC: 0.542352, CE: 0.693961 + 0.003990, CEpre: 0.876242 + 0.037436, time 55563.84
AUC: 0.556239, CE: 0.692263 + 0.003348, CEpre: 0.784140 + 0.027309, time 55874.24
AUC: 0.513122, CE: 0.692998 + 0.002815, CEpre: 0.775714 + 0.020287, time 56241.77
AUC: 0.483353, CE: 0.693229 + 0.000094, CEpre: 0.694715 + 0.001214, time 57873.16
AUC: 0.595637, CE: 0.687356 + 0.004894, CEpre: 0.806619 + 0.029180, time 58412.07
AUC: 0.559970, CE: 0.691993 + 0.004043, CEpre: 0.831601 + 0.032152, time 58697.89
AUC: 0.515030, CE: 0.693545 + 0.001922, CEpre: 0.736607 + 0.013876, time 58762.91
AUC: 0.477875, CE: 0.712431 + 0.006019, CEpre: 1.623028 + 0.094986, time 59171.22
AUC: 0.498674, CE: 0.693147 + 0.000000, CEpre: 0.693152 + 0.000005, time 59191.62
AUC: 0.484395, CE: 0.696950 + 0.002072, CEpre: 0.807040 + 0.025192, time 59779.65
AUC: 0.499939, CE: 0.693199 + 0.000063, CEpre: 0.694141 + 0.000885, time 59992.82
AUC: 0.555161, CE: 0.688321 + 0.003712, CEpre: 0.712331 + 0.013853, time 60479.26
AUC: 0.462327, CE: 0.693395 + 0.000183, CEpre: 0.698054 + 0.002854, time 60943.55
AUC: 0.617661, CE: 0.685727 + 0.005840, CEpre: 0.841070 + 0.039146, time 61862.47
AUC: 0.595198, CE: 0.681391 + 0.006563, CEpre: 0.898686 + 0.034939, time 62579.36
AUC: 0.586041, CE: 0.682758 + 0.006050, CEpre: 0.853647 + 0.030471, time 63987.67
AUC: 0.538373, CE: 0.693682 + 0.000900, CEpre: 0.710673 + 0.008639, time 64024.84
AUC: 0.490806, CE: 0.693251 + 0.000619, CEpre: 0.698717 + 0.003858, time 64096.75
AUC: 0.484927, CE: 0.693195 + 0.000265, CEpre: 0.694636 + 0.001891, time 64184.33
AUC: 0.503544, CE: 0.693358 + 0.002033, CEpre: 0.741838 + 0.015283, time 66228.25
AUC: 0.501330, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 66304.50
AUC: 0.508960, CE: 0.695242 + 0.003217, CEpre: 0.862629 + 0.033507, time 66831.06
AUC: 0.561573, CE: 0.690619 + 0.003468, CEpre: 0.754033 + 0.022644, time 67068.26
AUC: 0.552307, CE: 0.691805 + 0.003290, CEpre: 0.771898 + 0.021714, time 67950.78
AUC: 0.531649, CE: 0.692392 + 0.001873, CEpre: 0.713821 + 0.010081, time 69370.02
AUC: 0.622664, CE: 0.675960 + 0.008256, CEpre: 1.087192 + 0.054507, time 70018.87
AUC: 0.497319, CE: 0.693258 + 0.000302, CEpre: 0.695931 + 0.002426, time 70037.72
AUC: 0.535020, CE: 0.689054 + 0.003540, CEpre: 0.722440 + 0.015776, time 70540.79
AUC: 0.492424, CE: 0.692280 + 0.001775, CEpre: 0.705601 + 0.009429, time 71369.34
AUC: 0.501409, CE: 0.693163 + 0.000246, CEpre: 0.694070 + 0.001809, time 71476.72
AUC: 0.456710, CE: 0.693256 + 0.000058, CEpre: 0.695304 + 0.000972, time 71897.12
AUC: 0.549662, CE: 0.691688 + 0.002382, CEpre: 0.716195 + 0.012045, time 71962.11
AUC: 0.557073, CE: 0.691578 + 0.003232, CEpre: 0.764854 + 0.021680, time 72602.35
AUC: 0.579449, CE: 0.685254 + 0.005851, CEpre: 0.899001 + 0.039429, time 73127.24
AUC: 0.501111, CE: 0.693148 + 0.000028, CEpre: 0.693168 + 0.000216, time 73591.03
AUC: 0.529622, CE: 0.691284 + 0.002294, CEpre: 0.705316 + 0.008371, time 73607.82
AUC: 0.558676, CE: 0.691388 + 0.003769, CEpre: 0.807731 + 0.026697, time 74389.18
AUC: 0.518567, CE: 0.692677 + 0.001293, CEpre: 0.699572 + 0.005481, time 74434.70
AUC: 0.534840, CE: 0.692324 + 0.002425, CEpre: 0.735430 + 0.014813, time 74460.65
AUC: 0.563190, CE: 0.690254 + 0.003301, CEpre: 0.741250 + 0.017701, time 75061.27
AUC: 0.509229, CE: 0.693358 + 0.000218, CEpre: 0.697378 + 0.002754, time 75198.95
AUC: 0.494821, CE: 0.693147 + 0.000000, CEpre: 0.693152 + 0.000009, time 76223.40
AUC: 0.513377, CE: 0.693673 + 0.001382, CEpre: 0.721306 + 0.012071, time 76351.74
AUC: 0.585042, CE: 0.686960 + 0.004974, CEpre: 0.810001 + 0.029395, time 76663.60
AUC: 0.488463, CE: 0.695024 + 0.004153, CEpre: 0.949932 + 0.044024, time 76691.23
AUC: 0.459118, CE: 0.724982 + 0.007333, CEpre: 2.137601 + 0.100033, time 78458.12
AUC: 0.524324, CE: 0.694538 + 0.004659, CEpre: 0.992097 + 0.054782, time 78601.83
AUC: 0.605671, CE: 0.683385 + 0.007015, CEpre: 1.009117 + 0.051451, time 79375.63
